"date","Qobs","Qsim","Qsim_cbias","Qsim_rf_cbias"
"1987-10-01","0.3","7.00711436","1.83319921155577","3.00795999999999"
"1987-10-02","0.5","16.67688598","3.68087811414261","5.35012333333333"
"1987-10-03","0.5","11.82495985","2.75378263561353","5.57747"
"1987-10-04","0.4","8.45454568","2.10977123600524","4.11021000000001"
"1987-10-05","0.5","6.23094338","1.68489015102119","3.02569"
"1987-10-06","0.3","4.73306028","1.39867791032182","2.41051999999999"
"1987-10-07","0.4","3.66739447","1.19505280812472","1.90788333333333"
"1987-10-08","0.5","2.94792063","1.05757731362787","1.67880666666667"
"1987-10-09","0.3","2.54485101","0.980559648432202","1.39108666666666"
"1987-10-10","0.6","2.19420283","0.913558557829767","1.29719333333334"
"1987-10-11","0.4","1.87823306","0.853183742288445","1.07157666666666"
"1987-10-12","0.5","1.65307707","0.810161426057769","0.997273333333333"
"1987-10-13","0.6","1.45052899","0.771458980035008","1.03323"
"1987-10-14","0.5","1.33519169","0.749420579929409","0.913596666666667"
"1987-10-15","0.4","1.19937543","0.723469104745526","0.855026666666665"
"1987-10-16","0.5","1.06925762","0.698606476977715","0.886353333333333"
"1987-10-17","0.5","0.97128895","0.679886836867591","0.84732"
"1987-10-18","0.4","0.88649433","0.663684465541383","0.704856666666666"
"1987-10-19","0.6","0.81401757","0.649835764078478","0.78938666666667"
"1987-10-20","0.4","0.75240033","0.638062076047609","0.649466666666666"
"1987-10-21","0.4","0.69933967","0.627923360688855","0.577280000000001"
"1987-10-22","0.5","0.65184541","0.618848260919749","0.66135"
"1987-10-23","0.5","0.61519837","0.611845824325465","0.652059999999999"
"1987-10-24","0.4","0.59680566","0.608331385353803","0.589190000000001"
"1987-10-25","0.6","0.58688763","0.606436269780616","0.676730000000001"
"1987-10-26","0.5","0.5394249","0.597367194695245","0.646173333333333"
"1987-10-27","0.5","0.49088297","0.588091908424125","0.659483333333334"
"1987-10-28","0.5","0.46647341","0.583427782857794","0.56809"
"1987-10-29","0.5","0.44661012","0.579632348662321","0.61799"
"1987-10-30","0.5","0.44171725","0.578697429718278","0.579306666666666"
"1987-10-31","0.5","0.433676","0.577160523932116","0.580393333333333"
"1987-11-01","0.6","0.40180611","0.64624640220886","0.646463333333333"
"1987-11-02","0.4","0.53223263","0.706805161139028","0.577910000000001"
"1987-11-03","0.5","0.64830027","0.76200566831589","0.616336666666667"
"1987-11-04","0.5","0.49103073","0.687483022973333","0.618666666666666"
"1987-11-05","0.5","0.37061227","0.632049866118958","0.552023333333333"
"1987-11-06","0.5","0.33211423","0.6143240928708","0.54976"
"1987-11-07","0.6","0.34080086","0.618356044177883","0.619789999999999"
"1987-11-08","0.8","0.36386118","0.62897770884152","0.707586666666668"
"1987-11-09","0.6","0.37171508","0.632549721820706","0.581606666666667"
"1987-11-10","0.5","0.34375419","0.619724332288658","0.55512"
"1987-11-11","0.5","0.30522465","0.60184394173625","0.569376666666667"
"1987-11-12","0.7","0.28671295","0.593340298024181","0.682736666666665"
"1987-11-13","0.5","0.36308525","0.628623277300437","0.55595"
"1987-11-14","0.5","0.43920591","0.663423048372","0.571226666666667"
"1987-11-15","0.5","0.42599705","0.657337909101167","0.567203333333333"
"1987-11-16","0.6","0.34709282","0.621268987760012","0.61198"
"1987-11-17","0.5","0.27914578","0.589904986910901","0.571973333333333"
"1987-11-18","0.5","0.30159522","0.600167872734909","0.532546666666666"
"1987-11-19","0.5","0.28553792","0.592805026239795","0.547373333333333"
"1987-11-20","0.5","0.24745176","0.575912092021979","0.529306666666666"
"1987-11-21","0.5","0.2773419","0.589090469467174","0.523013333333333"
"1987-11-22","0.4","0.25230318","0.57800399384182","0.46671"
"1987-11-23","0.5","0.21727617","0.563514284154336","0.498406666666667"
"1987-11-24","0.5","0.1977866","0.556416802366371","0.50651"
"1987-11-25","0.4","0.19965424","0.557072883677692","0.462093333333335"
"1987-11-26","0.5","0.19903966","0.556856572930821","0.508823333333334"
"1987-11-27","0.5","0.19707539","0.556167914121185","0.49831"
"1987-11-28","0.5","0.18150668","0.550802960773566","0.4782"
"1987-11-29","0.8","0.17868628","0.549837717982242","0.646223333333335"
"1987-11-30","1.9","0.26641929","0.584200121290537","1.22913"
"1987-12-01","3.4","0.59365873","0.805604736727743","2.11803666666666"
"1987-12-02","2.1","1.13051436","1.16591650411015","1.72349666666667"
"1987-12-03","2.1","1.44888162","1.3946285762335","1.59496333333334"
"1987-12-04","2.5","0.96511706","1.04981399522816","1.66775666666667"
"1987-12-05","4.7","0.74887504","0.903045468144029","2.70246000000001"
"1987-12-06","2.3","0.84628557","0.968245269377887","1.63595"
"1987-12-07","3.1","0.89088028","0.998636547940052","1.93847"
"1987-12-08","4.3","0.97106377","1.05394227717305","2.62124666666666"
"1987-12-09","2.5","1.29093912","1.28028120264181","1.87531333333333"
"1987-12-10","1.7","1.35270704","1.32474468249625","1.50181"
"1987-12-11","1.4","1.06825883","1.1219338573521","1.19081333333333"
"1987-12-12","1.2","0.78822407","0.929123008564103","1.03454666666667"
"1987-12-13","1.3","0.61588722","0.819159187134473","1.02755333333334"
"1987-12-14","1","0.48462152","0.740035065694911","0.849493333333333"
"1987-12-15","0.4","0.42151389","0.702289305499928","0.538393333333334"
"1987-12-16","1.3","0.4521122","0.720578128724195","0.97186666666667"
"1987-12-17","0.8","0.36987934","0.672216768319061","0.696286666666668"
"1987-12-18","0.8","0.33364567","0.651464776539127","0.699653333333335"
"1987-12-19","0.8","0.3185607","0.642840476749584","0.680150000000001"
